pays,ville,nom,poste
France,Saint-Sulpice-sur-Risle,La Manufacture Bohin,Directrice
United States,Boise,Boise Art Museum,Membership Coordinator
United Kingdom,Bolton,Bolton Library and Museum Services ,Information Services Assistant
Germany,Celle,Bomann-Museum Celle,Wissenschaftliche Mitarbeiterin
United Kingdom,Dereham,Bishop Bonner's Cottage Museum,Curator 
United States,Dayton,Boonshoft Museum of Discovery,"Director, Marketing and Public Relations "
Italy,Torino,Borgo Medievale Torino,Social media manager
Turkey,Istanbul,Borusan Contemporary,Corporate Communications 
United States,Boston,The Bostonian Society,Development Associate
United States,Denver,Denver Botatinc Gardens,Communications Manager
Belgium,Bruxelles,Le Botanique,Assistante service Expositions
France,Nice,BOTOX(S),chargé de communication / assistant administration projets
France,Paris,Théâtre des Bouffes du Nord,Chargé de communication
United States,Brigham City,"Box Elder Museum of Art, History, & Nature",Curatorial and Development Assistant
United States,Buffalo,Burchfield Penney Art Center,director of marketing and pr
United Kingdom,Bradford,Bradford Museums & Galleries,Curator (Social History)
Italy,Castiglione Olona,Museo Civico Branda Castiglioni,Operatore Museale
United States,Kennebunk,Brick Store Museum,Director
Spain,Madrid,Bridge International Investments,"Responsable Prena, Protocolo y Arte"
United Kingdom,Bristol ,Bristol Museum & Art Gallery,Collections Officer
United Kingdom,Saint-Andrews,British Golf Museum,Museum and Heritage Assistant Curator
United Kingdom,London,British Museum,Marketing Assistant - Digital
Latvia,Riga,The Ethnographic Open-Air Museum of Latvia,executive deputy of Education and information department
United States,East Lansing,Eli and Edythe Broad Art Museum at Michigan State University,Graphic Designer
United Kingdom,Haworth ,Brontë Parsonage Museum ,Marketing and Communications Officer
United Kingdom,Weybridge,Brooklands Museum,Marketing Assistant
United States,New York City,Brooklyn Museum,Social Media Coordinator
United Kingdom,Yelverton,Buckland Abbey,Visitor Experience Officer
Germany,Hattingen,Museum im Buegeleisenhaus (MiBEH),Leiter
United States,"Washington, D.C. ",National Building Museum,Digital Media Associate 
United States,Austin,Bullock Texas State History Museum,Head of Education
Germany,Bonn,Kunst- und Ausstellungshalle der Bundesrepublik Deutschland GmbH,Leitung Publikationen/Grafik
Australia,Melbourne,Bunjilaka Aboriginal Cultural Centre,"Brand Manager, Family Audiences"
Japan,Tokyo,Cultural Heritage Online,専門職
Italy,Trento,Castello del Buonconsiglio,Settore Comunicazione e Promozione
Germany,Posterstein,Museum Burg Posterstein,Direktor
United Kingdom,London,The Burlington Magazine,Marketing Manager
Canada,Burlington,Museums of Burlington,Supervisor of Public Programs
United States,Rockford,Burpee Museum of Natural History,Marketing Coordinator
United Kingdom,Glasgow,The Burrell Collection,Learning and Access Curator
United Kingdom,Bursledon,Bursledon Windmill,Visitor Services Assistant
United Kingdom,Manchester,Bury Art Museum & Sculpture Centre,Marketing Officer
United States,Chappell Hill,Chappell Hill Historical Society Museum,Museum Site Manager
Spain,Sevilla,Centro Andaluz de Arte Contemporáneo,Responsable web y de redes socialese
Spain,Las Palmas de Gran Canaria,"CAAM, Centro Atlántico de Arte Moderno",Responsable de Comunicación
Spain,Burgos,CAB,coordinadora del area de educación
Spain,Málaga,CAC Málaga,Community Manager
Spain,Vélez-Málaga,Centro de Arte Contemporáneo Francisco Hernández,Coordinador actividades
France,Caen,Mémorial de Caen,Community Manager
Canada,Vancouver,Contemporary Art Gallery,Marketing and Communications
Brasil,Recife,Museu Cais do Sertão,Coordenadora de Comunicação Criativa
Spain,Barcelona,CaixaForum,Community Manager
Spain,Granada,CajaGRANADA Fundación,Responsable de Marketing y Publicidad
United Kingdom,Halifax,Calderdale Museums ,Collections & Volunteering Officer
Italy,Bari,Mostra Duilio Cambellotti ,Ufficio stampa
United States,Houston,CAMH,Communications Associate
Japan,Kumamoto,CONTEMPORARY ART MUSEUM KUMAMOTO,嘱託職員
United States,Mount Carroll ,The Campbell Center for Historic Preservation Studies,Assistant Director
United States,Saint-Louis,Campbell House Museum,Assistant Director
France,L'ISle sur la Sorgue,Campredon centre d'art,Chargé de communication/relation presse
United Kingdom,Cambridge,Cambridge Museum of Technology,Curator
United Kingdom,Cambridge,University of Cambridge Museums,Audience Development and Engagement Coordinator
United Kingdom,London,London Canal Museum,Chair
Canada,Gatineau,Canadian Museum of History,Communications Officier
Spain,Sóller,Can Prunera Museo Modernista,Educación y acción cultural - Community Manager
Canada,Calgary,Canada's Sports Hall of Fame,Curator
United States,Canton,Canton Museum of Art,Director of Marketing
Canada,Ottawa,Canadian War Museum,Sr. Communications and Media Relations Officer 
France,Bordeaux,CAPC musée d'art contemporain,Chargée de communication
France,Bordeaux,Cap Sciences,Webmaster & Community Manager
United Kingdom,Beaulieu,National Motor Museum Trust,Curator of The Caravan Club Collection
United Kingdom,Cardiff,National Museum Wales,Senior Curator
United States,Atlanta,Michael C. Carlos Museum,Director of Mark/Comm
Italy,Carmagnola,Palazzo Lomellini,"Direttore Ripartizione Manifestazioni, Eventi, Cultura"
Spain,Granada,Fundación Rodríguez-Acosta,Community Manager (Departamento Comunicación)
United Kingdom,Carmarthen,Carmarthenshire Museums Service,Museums Curator
Australia,Carnamah,Carnamah Historical Society & Museum,Project Officer
United States,New York City,Carnegie Hall,eStrategy Manager
United States,Pittsburgh,Preservation Fair,Conservator
