pays,ville,nom,poste
France,Paris,Cité des sciences et de l'industrie,Chargé d'étude et de stratégie numérique
France,Paris,Musée de l'histoire de l'immigration,Chargée du multimédia et de la communication numérique
France,Pau,Cité des parachutistes,Conservateur
Spain,Valencia,Ciudad de las Artes y las Ciencias,Técnico Publicidad y Redes Sociales
United Kingdom,Newark,National Civil War Centre,Commercial Team Leader
Japan,Tokyo,CJ3,CJキューブ展覧会情報担当
Italy,Fagagna,"Museum of Rural Life ""Cjase Cocèl""",Social Media Manager 
United States,Springfield,Clark County Historical Society at the Heritage Center,Curator of Library and Archives
United States,Salt Lake City,Clark Planetarium,Marketing and Public Relations
Canada,Bowmanville,Clarington Museums,Programme Coordinator
United States,Tallahassee,Claude Pepper Museum & Library,Archives Assistant 
France,Clermont-Ferrand,Musée Bargoin,Chargée des collections - Département arts textiles
United States,Cleveland,The Cleveland Museum of Art,Digital Communications Manager
United States,New York City,KRA-CRO,Principal
United States,Los Angeles,CMCI,Marketing Manager
Canada,Winnipeg,Canadian Museum for Human Rights,Digital Content Specialist
United States,Evansville,Koch Family Children's Museum of Evansville,Director of Marketing and Development
United Kingdom,Carlisle,Cumbria's Museum of Military Life,Wooding
Spain,Las Palmas de Gran Canaria,Casa-Museo Pérez Galdós,Técnico Medio de Museos
Brasil,Rio de Janeiro,Espaço do Conhecimento UFMG,Coordenação de Acervo & Conteúdo
Spain,Málaga,Fundación Picasso Museo Casa Natal,Responsable Dpto. Documentación
France,Moulins,Centre national du costume de scène,responsable de la communication
Canada,Peterborough,The Canadian Canoe Museum,Digital Media Manager
France,Paris,CNES,Community-manager
France,Paris,CNRS,Community Manager
United States,Troia,CNSE CMOST,Director of Education
United Kingdom,Birmingham,Newman Brothers at the Coffin Works,Development Officer
United States,Columbia,Columbia Museum of Art,Communications Assistant
Canada,Toronto,Colborne Lodge,Museum Program Delivery 
United Kingdom,London,"The View, Epping Forest",Projects Officer
United Kingdom,Reading,The Cole Museum of Zoology,Curator/Assistant Professor
France,Paris,Collection Société Générale,Chargée de communication
United Kingdom,London,The College of Optometrists,Museum Curator
United Kingdom,Colchester,Colchester Museums,Senior Curator
United States,Williamsburg,The Colonial Williamsburg Foundation,Community Manager
Italy,Colorno,Reggia di Colorno,responsabile gestione
United Kingdom,Derry,The St Columba heritage centre,Centre manager
United States,Columbus,Columbus Museum of Art,Digital Communications Manager
France,Paris,Comedie-Francaise,Webmaster
Australia,Adelaide,History SA (Community Museums Program),Community History Officer
Italy,Caprera,Compendio Garibaldino di Caprera,OPERATORE AMMINISTRATIVO GESTIONALE
United Kingdom,Warwick,Compton Verney,Marketing Officer
United States,Mountain View,Computer History Museum,Event Coordinator
Italy,Spoleto,Comune di Spoleto,Ufficio stampa
United States,Fishers,Conner Prairie Interactive History Park,Communications Specialist
United Kingdom,Norwich,Norfolk Museum Service Conservation Department,Collections Development Assistant
United States,Saint-Louis,Contemporary Art Museum St. Louis,PR / Marketing Assistant
Italy,Cagliari,Contus de Arrejolas (I Racconti delle Riggiole),presidente associazione Contus de Arrejolas
Italy,Marsala,Pinacoteca Ente Mostra Pittura Marsala,Direttore Amministrativo
Italy,Venezia,CoopCulture,social media manager
United States,New York City,"Cooper Hewitt, Smithsonian Design Museum",Press Manager
United States,Cooperstown,Cooperstown Graduate Program,Graduate Assistant
France,Rochefort,Centre International de la Mer - Corderie Royale ,Responsable communication
United Kingdom,Cirencester,Corinium Museum,Customer Advisor
United States,Corning,Corning Museum of Glass,"Blogger, Communications"
Italy,Lunamatrona,Museo Sa Corona Arrubia,direttore
Chile,Santiago,Fundación CorpArtes,community manager
United States,Columbus,COSI,Public Relations and Social Media Manager
Spain,Barcelona,CosmoCaixa,Community Manager
Canada,Laval,Cosmodome,Directrice contenu scientifique et formation
United Kingdom,London,The Courtauld Gallery,Gallery Marketing Manager
United Kingdom,Coventry,Coventry Transport Museum,Marketing & Communications Assistant
France,Corte,CPIE centre corse - Pole CSTI,community manager
France,Millery,CRANE lab,Directeur
United States,San Francisco,Children's Creativity Museum,Marketing and Public Relations Manager
Canada,Ouje-Bougoumou,Aanischaaukamikw Cree Cultural Institute,Director of Programs
United States,Cedar Rapids,Cedar Rapids Museum of Art,Communications Coordinator
United States,Sacramento,Crocker Art Museum,Online Marketing Specialist
Ireland,Dublin,GAA Museum,Marketing Co-ordinator
France,Paris,CRTH,Chargé de diffusion
Spain,Medina del Campo,Castillo de la Mota - Centro de Visitantes,Responsable de Comunicación y Actividades
United States,Bentonville,Crystal Bridges Museum of American Art,Public Relations Coordinator
Italy,Parma,CSAC - Centro Studi e Archivio della Comunicazione,Social Media Manager
United Kingdom,London,Chartered Society of Designers,Communications Officer
Germany,Berlin,Computerspielemuseum Berlin,Social Media Manager
India,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Online Communication Consultant
France,Pau,Université de Pau et des Pays de l'Adour,chargé de mission culture scientifique et technique
South Africa,Cape Town,Cape Town Diamond Museum,Marketing Manager
United States,Atlanta,Center for Civil and Human Rights,Director of Communications
United States,Atlanta,Center for Puppetry Arts,Collections Manager
United States,Boulder,University of Colorado Art Museum,Director of Marketing and Membership
United States,Durham,Cuberis,Marketing Strategist
Spain,Cuenca,CAAC,Coordinadora
United Kingdom,Culloden,Culloden Battelfield & Visitor Centre,Senior Admissions and Membership Assistant
Spain,Valencia,Cultura Diputación Valencia,Community Manager
Canada,Chatham,Chatham Cultural Centre,"Curator, Ridge House Museum"
Mexico,Ciudad de México,CulturaSHCP,Difusión Cultura
Brasil,São Paulo,Secretaria da Cultura do Estado de São Paulo,Coordenadora de Comunicação 
United Kingdom,Luton,Luton Culture Learning Team,Learning Manager
France,Lyon,Culture Accessible,Responsable
Ireland,Dublin,CultureArk,Digital Archivisit
Bahrain,Manama,Bahrain National Museum ,Museum Advisor 
United Kingdom,Perth,Perth and Kinross Museums and Galleries ,Events Officer
France,Paris,Cultuespaces ,Chargée des projets web et nouveaux médias
United Kingdom,Derby,Culture Train,Founding Director
Canada,Cumberland,Cumberland Museum & Archives,Events & Outreach Coordinator
United States,Winston-Salem,Reynolda House Museum of American Art,Assistant Director of Marketing and Communications
United States,San Mateo,CuriOdyssey,Marketing Manager
France,Versailles ,Palace of Versailles,Chef de projet numérique / Réseaux sociaux
United States,Williamsburg,The Colonial Williamsburg Foundation,"Editor-Writer, Educational Media"
Canada,Hamilton,Canadian Warplane Heritage Museum,Retail & Marketing Manager
Greece,Athens,Museum of Cycladic Art,WEB / DIGITAL MEDIA  MANAGER
United Kingdom,Berkhamsted,The Dacorum Heritage Trust Ltd,Collections Manager
United States,Aberdeen,Dacotah Prairie Museum,Manager
United States,Yankton,Dakota Territorial Museum,Marketing Coordinator
Japan,Fukushima,Morohashi museum of modern art,事務局長
Germany,Berlin,Dalí - Die Ausstellung am Potsdamer Platz,Social Media Manager
United States,Dallas,Dallas Museum of Art,Senior Marketing & Social Media Manager
Russia,Dalnegorsk,Museum Dalnegorsk,Editor electronic databases museum
Russia,Moscow,State Darwin Museum,marketologist
United States,Dayton,The Dayton Art Institute,Marketing and Communications Manager
Germany,Schwerin,State Museum Schwerin / Ludwigslust / Güstrow ,Direktor
Germany,Frankfurt,German Digital Library,technical project coordinator
Germany,Berlin,DDR Museum,Social Media Manager
Netherlands,Amsterdam,de Appel arts centre,pr and press intern
Germany,Hamburg,Deichtorhallen Hamburg,Communications staff
Netherlands,Leiden,Museum De Lakenhal,Communications & PR
France,Lyon,La Demeure du Chaos / Abode of Chaos ,président fondateur
United States,Denver,Denver Art Museum,Communications Manager
United Kingdom,Derby,QUAD,Marketing Coordinator
Mexico, ,DescubrirDF,Prensa 
Canada,Toronto,Design Exchange,Marketing Manager
Finland,Helsinki,Design Museum,Head of PR and communications
United Kingdom,London,Design Museum,Digital Content Coordinator
Germany,München,Deutsches Museum,Press- and Public Relations
United States,Marquette,DeVos Art Museum at Northern Michigan University ,Curator
United Kingdom,Aberfeldy,Dewar's Aberfeldy DIstillery,Visitor Experience Deputy General Manager
Canada,Montréal,DHC/ART Foundation for Contemporary Art,Assistante aux médias sociaux
Germany,Berlin,Deutsches Historisches Museum,Onlineredaktion
United States,Dallas,Dallas Heritage Village,Curator of Education
United States,Detroit,Detroit Institute of Arts,Communications Specialist
France,Plateau de Saclay,Diagonale Paris-Saclay,Chef de projet
United Kingdom,London,Charles Dickens Museum ,Museum Manager
United Kingdom,Didcot,Didcot Railway Centre,Commercial Manager
Canada,Carp,Diefenbunker: Canada's Cold War Museum,Curatorial and Marketing Manager
Portugal,Faro,Digital Museum,CEO
Austria,Graz,Austrian Museums Association,Director
Singapore,Singapore,DINKtravelers,Marketing Director
Spain,Teruel,Dinópolis,Responsable de Comunicación de Dinópolis
France,Espéraza,Musée des Dinosaures,Directeur
United Kingdom,Newcastle Upon Tyne,Discovery Museum,Communications Officer
United States,Acton,The Discovery Museums,Marketing Specialist
United States,Springfield,Discovery Center,Marketing & Advancement Director
United Kingdom,Dundee,Discovery Point & RRS Discovery,Marketing Officer
United States,Charlotte,Discovery Place,"Coordinator, Social Media"
United States,New York City,Discovery Times Square,Marketing & Promotions Manager
Germany,Dresden,DIstrict Museum for Contemporary Art Dresden,Director
United States,Cleveland,Dittrick Museum of Medical History,Research Assistant/Social Media Correspondent
France,Paris,"Dépôt légal de l'internet, Bibliothèque nationale de France",Responsable du dépôt légal des livres numériques
Germany,Bonn,Deutsches Museum Bonn,Freiwillige im sozialen Jahr Kultur und Bildung
Latvia,Riga,Museum of Decorative Arts and Design, 	  Curator of Communication
Germany,München,Die Neue Sammlung - The International Design Museum Munich,Landeskonservatorin
Mexico,Ciudad de México,Museo Dolores Olmedo,Digital Contents Manager
France,Chambord,Domaine national de Chambord,Chargée de communication
Germany,Köln,"DOMiD e, V,",Wissenschaftliche Mitarbeiterin
Belarus,Minsk,House-Museum of 1st RSDLP Congress,ведущий научный сотрудник
United Kingdom,Doncaster,Doncaster 1914-18,Digital Content Officer
South Korea,Seoul,DOOSAN Gallery,curator
United Kingdom,Dorchester,Dorset County Museum,Social Media and Marketing 
United States,Long Island City ,Dorsky Gallery Curatorial Programs ,registrar 
Netherlands,Rotterdam,Double O Roos,owner
United States,Boston,Digital Public Library of America ,Outreach Coordinator
United Kingdom,London,Dr Johnson's House,Laura
Ireland,Drogheda,Drogheda Museum Millmount,Archive Assistant
United States,"Waco, Texas",Dr Pepper Museum,Associate Director
United Kingdom,Swansea,Dylan Thomas Centre,Learning Officer
Ireland,Dublin,The Little Museum of Dublin,Digital Maketing Manager
Italy,Genova,Palazzo Ducale,Social Media Manager
United Kingdom,London,Dulwich Picture Gallery ,Communications Officer
United Kingdom,Durham,Durham University Oriental Museum,Administrator
Canada,Dundas,Dundas Museum and Archives,Collections Intern
France,Paris,Médiathèque Marguerite Duras,Responsable Médiation Numérique
United States,Omaha,The Durham Museum,Associate Curator
Russia,Khabarovsk,Far Eastern Art Museum,Специалист по связям с общественностью
Germany,Berlin,Nazi Forced Labour Documentation Centre,"Social Media Management, Exhibition Office"
United Kingdom,Kilmarnock,East Ayrshire Leisure Trust,Customer Development Co-ordinator
United Kingdom,"Chappel, Near Colchester",East Anglian Railway Museum,Assistant
France,Brest,Archives de Brest,Responsable du service
Japan,Tokamachi,Echigo-Tsumari Art Field,広報担当
France,Grézieu La Varenne,Éco-architecture Musée vivant,Fondateur
Puerto Rico,San Juan,EcoExploratorio: Museo de Ciencias de P.R.,President Board of Directors
France,Paris,Ensad,chargée de communivation digitale
France,Paris,Ecole du Louvre,chargée de communication numérique
France,Fourmies,ecomusée de l'avesnois,responsable com
France,Saint-Cyr-la-Rosière,écomusée du Perche,directeur
France,Sabres,Écomusée de Marquèze,Chargé de communication et de commercialisation
United States,Edmond,Edmond Historical Society & Museum,Program Director
United Kingdom,Waltham Abbey,Epping Forest District Museum,Audience Development Officer
United Kingdom,East Grinstead,East Grinstead Museum,Collection Curator
United Kingdom,Amesbury,Stonehenge,PR and Social Media Manager
Japan,Nakagawa-machi,Iwamura Kazuo Ehon-no-oka Art Museum,学芸員
Spain,Madrid,Museo de Aeronáutica y Astronáutica del Ejército del Aire,Oficina de Comunicación del Ejército del Aire
Mexico,Ciudad de México,Museo Franz Mayer,Jefatura de Difusión y Redes Sociales
United States,New York City,Museum at Eldridge Street,Deputy Director
Russia,Moscow,Electromuseum,PR-manager
United Kingdom,Worcester,The Elgar Birthplace Museum,Museum Director
United States,New York City,El Museo del Barrio,Senior Marketing Manager
Colombia,Pamplona,Museo Digital,Directora
Mexico,Ciudad de México ,Museo Soumaya,Gestora de Medios Sociales
Spain,Muskiz,Ferrería de El Pobal,Departamento Educación
United Kingdom,Ely,Ely Museum,Custodian
Switzerland,Lausanne,Musée de l'Elysée,Chargé des projets web et nouveaux medias
Brasil,São Paulo,Fundação Cultural Ema Gordon Klabin,Comunicação
